Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
5843,0.39,Very Good,E,VVS2,59.5,58.0,4.74,4.77,2.83,1054
25347,0.82,Ideal,E,SI1,61.8,58.0,5.99,6.05,3.72,3622
14301,0.42,Ideal,J,VS1,61.4,55.0,4.83,4.85,2.97,664
9683,0.44,Ideal,G,IF,61.3,55.0,4.91,4.95,3.02,1378
12557,0.51,Very Good,D,SI1,63.5,56.0,5.08,5.06,3.22,1574
4788,0.3,Ideal,E,VVS2,61.4,57.0,4.34,4.32,2.66,1013
9843,0.23,Very Good,E,VVS2,61.8,58.0,3.92,3.94,2.43,530
686,0.97,Very Good,G,SI1,60.2,61.0,6.4,6.46,3.87,4140
18150,1.0,Ideal,H,SI2,59.4,55.0,6.59,6.65,3.93,4295
5895,1.76,Premium,D,SI1,61.0,60.0,7.76,7.68,4.77,12063
525,0.56,Ideal,F,VS2,61.0,55.0,5.33,5.35,3.26,1708
10675,0.41,Premium,F,VS1,60.8,58.0,4.82,4.76,2.91,1076
4131,0.56,Ideal,D,SI1,61.3,55.0,5.32,5.35,3.27,1708
26008,0.7,Ideal,H,VVS2,61.0,56.0,5.75,5.78,3.52,3325
2020,1.05,Premium,F,SI2,62.3,56.0,6.55,6.51,4.07,4363
13274,0.51,Very Good,F,VVS2,60.8,56.0,5.18,5.21,3.16,2054
13294,0.85,Ideal,I,VS1,61.9,56.0,6.08,6.1,3.77,3548
13169,0.36,Premium,F,VS2,62.0,59.0,4.56,4.51,2.81,807
14801,0.51,Premium,D,VS2,61.1,59.0,5.16,5.12,3.14,1882
1402,0.38,Ideal,G,SI1,61.9,56.0,4.64,4.67,2.88,639
23675,1.52,Premium,G,VS2,62.0,58.0,7.33,7.39,4.56,13483
21639,0.73,Ideal,E,VVS2,61.6,55.0,5.8,5.83,3.58,3535
7621,0.7,Ideal,G,SI2,61.3,58.0,5.67,5.69,3.48,2234
3985,0.35,Ideal,D,VS2,62.4,55.0,4.48,4.52,2.81,829
21512,0.7,Very Good,I,VS2,62.3,58.0,5.58,5.65,3.5,2273
561,1.06,Premium,I,SI2,61.5,57.0,6.57,6.49,4.02,2968
2555,1.01,Good,E,VVS1,63.1,57.0,6.36,6.39,4.02,10696
13806,0.54,Ideal,D,VVS1,61.3,56.0,5.24,5.26,3.22,4042
16365,0.32,Ideal,E,IF,60.6,60.0,4.43,4.45,2.69,1004
931,0.71,Premium,E,SI1,60.3,60.0,5.77,5.74,3.47,2674
673,1.02,Very Good,E,VS1,58.9,59.0,6.52,6.65,3.88,7253
14875,1.29,Ideal,H,SI1,62.6,56.0,6.96,6.93,4.35,6424
24439,0.9,Premium,E,SI1,62.2,59.0,6.21,6.16,3.88,4259
6376,0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,864
21245,1.14,Very Good,F,VVS2,63.3,56.0,6.56,6.71,4.2,8912
12305,0.7,Good,E,SI1,61.4,64.0,5.71,5.66,3.49,2822
11665,1.01,Good,G,SI1,63.3,59.0,6.24,6.31,3.97,4781
17341,0.7,Very Good,G,VS2,63.1,58.0,5.65,5.61,3.55,2479
21064,1.0,Ideal,F,SI1,61.5,57.0,6.41,6.46,3.96,5197
2308,0.31,Ideal,F,VS2,61.1,56.0,4.35,4.39,2.67,640
24121,0.8,Premium,J,VS2,62.7,61.0,5.89,5.84,3.68,2045
5711,0.51,Ideal,G,VS1,61.8,60.0,5.08,5.12,3.15,1757
3864,0.32,Premium,I,VVS2,61.9,59.0,4.35,4.38,2.7,561
8794,0.5,Very Good,F,IF,59.7,60.0,5.18,5.24,3.11,2219
19156,1.01,Premium,G,VVS2,61.4,58.0,6.46,6.51,3.98,6843
23470,0.31,Premium,I,VS2,61.1,58.0,4.38,4.36,2.67,558
12267,1.02,Very Good,I,VS2,59.3,59.0,6.56,6.6,3.9,4532
7214,1.54,Ideal,E,VS2,62.0,56.0,7.46,7.43,4.61,14529
9189,0.31,Ideal,G,VVS1,62.1,55.0,4.34,4.39,2.71,789
3333,0.46,Ideal,I,VVS2,62.7,56.0,4.9,4.93,3.08,1040
21524,1.16,Ideal,E,SI2,62.7,56.0,6.73,6.69,4.21,5093
12489,0.41,Premium,G,VS2,60.9,58.0,4.83,4.8,2.93,1061
7429,1.68,Good,E,I1,64.3,60.0,7.44,7.48,4.8,5765
20668,0.63,Ideal,E,VS2,62.1,56.0,5.49,5.52,3.42,2205
23769,0.31,Ideal,G,SI1,62.1,54.0,4.34,4.36,2.7,493
23329,1.55,Ideal,J,SI2,62.0,56.0,7.42,7.38,4.59,6805
25609,1.0,Good,F,SI1,63.7,58.0,6.29,6.34,4.02,4158
2010,2.01,Premium,H,VS2,,61.0,8.14,8.09,4.96,15528
16163,2.02,Ideal,H,SI2,,57.0,8.01,8.06,5.06,15974
6982,1.01,Very Good,I,SI2,63.7,57.0,6.32,6.36,4.04,3998
18061,2.21,Premium,G,SI2,60.7,62.0,8.48,8.42,5.13,15970
25288,1.71,Very Good,I,SI2,,58.0,7.59,7.54,4.74,8896
11030,0.51,Ideal,G,VS1,62.7,56.0,5.08,5.1,3.19,1656
6224,0.71,Ideal,H,VS1,60.8,57.0,5.74,5.79,3.51,3229
10432,0.91,Premium,E,SI2,61.1,59.0,6.2,6.24,3.8,3703
20679,0.35,Premium,G,VS1,61.7,61.0,4.52,4.49,2.78,906
2978,0.4,Ideal,E,VVS2,62.2,56.0,4.71,4.78,2.95,1158
16296,0.64,Good,G,VS2,64.1,55.3,5.43,5.45,3.49,1906
26065,0.31,Very Good,H,SI1,60.5,60.0,4.33,4.4,2.64,446
2180,0.73,Ideal,G,VS1,61.6,57.0,5.76,5.79,3.56,3033
13184,0.9,Good,E,SI1,63.8,56.0,6.09,6.17,3.91,3510
24996,0.33,Very Good,G,VS1,62.9,57.0,4.38,4.43,2.77,666
21311,0.31,Ideal,H,VS1,61.6,54.8,4.35,4.37,2.69,557
17668,0.54,Ideal,F,VVS2,61.2,55.0,5.25,5.27,3.22,2216
8741,1.0,Very Good,D,SI1,59.8,59.0,6.47,6.51,3.88,5671
806,0.41,Ideal,E,VVS2,62.0,56.0,4.72,4.76,2.94,1187
15688,0.72,Ideal,D,SI2,62.7,55.0,5.72,5.7,3.58,2670
9225,0.52,Ideal,G,VS2,62.0,55.0,5.19,5.13,3.2,1577
16702,1.04,Fair,D,SI2,65.8,58.0,6.32,6.25,4.13,3780
7594,0.32,Ideal,D,SI2,62.4,54.0,4.4,4.38,2.74,612
21159,0.9,Premium,G,SI1,61.9,59.0,6.18,6.13,3.81,3669
15480,0.32,Premium,I,VVS1,63.0,58.0,4.38,4.32,2.74,756
13113,0.31,Ideal,F,IF,62.1,54.0,4.36,4.4,2.72,914
3859,0.34,Ideal,D,SI1,62.0,55.0,4.5,4.53,2.8,584
13923,1.1,Ideal,H,VVS2,59.7,58.0,6.76,6.7,4.01,6616
3479,0.5,Good,E,SI1,64.6,54.0,4.95,5.05,3.23,1232
21163,1.51,Ideal,G,VS2,59.8,57.0,7.48,7.53,4.48,13214
14548,1.0,Very Good,E,SI1,63.1,58.0,6.34,6.2,3.95,4435
26036,0.5,Good,D,SI2,63.1,56.0,5.05,4.96,3.16,958
16536,0.26,Very Good,F,VS2,61.4,56.0,4.09,4.12,2.53,499
6040,0.91,Ideal,H,SI1,61.9,56.0,6.17,6.21,3.83,4386
7536,0.5,Ideal,E,SI1,62.3,56.0,5.06,5.12,3.17,1410
23261,0.53,Premium,G,VVS2,60.8,58.0,5.25,5.18,3.17,1914
15679,0.71,Very Good,F,VVS1,63.3,58.0,5.67,5.64,3.58,3104
23882,0.38,Premium,G,VS1,61.9,59.0,4.63,4.67,2.88,833
4361,1.52,Very Good,J,SI1,59.9,57.0,7.45,7.47,4.47,7759
2641,0.32,Premium,H,VS1,61.6,59.0,4.37,4.39,2.7,524
25067,0.4,Ideal,E,VS2,62.4,56.0,4.71,4.74,2.95,912
2983,1.01,Premium,H,SI1,59.5,59.0,6.56,6.52,3.89,4771
9166,1.7,Very Good,J,SI1,59.1,61.0,7.79,7.85,4.62,7713
23319,0.32,Ideal,G,SI2,63.0,56.0,4.35,4.32,2.73,540
1555,0.37,Very Good,E,VS1,62.0,56.0,4.59,4.63,2.86,925
13934,0.43,Ideal,E,SI1,62.9,56.0,4.83,4.8,3.03,1016
1380,1.6,Very Good,G,VS2,61.0,57.0,7.55,7.59,4.62,14383
14500,0.91,Fair,D,VS2,65.7,58.0,6.04,5.99,3.95,4107
13196,0.39,Premium,F,SI1,61.3,62.0,4.71,4.68,2.88,860
22466,1.2,Ideal,E,VVS1,60.1,61.0,6.83,6.91,4.13,15185
3966,1.01,Premium,G,VVS2,60.9,59.0,6.54,6.59,4.0,6843
23554,0.56,Ideal,D,VS2,61.4,57.0,5.36,5.32,3.28,2066
10794,0.32,Premium,F,VS2,61.4,60.0,4.38,4.42,2.7,645
15487,0.38,Premium,E,VS2,62.2,59.0,4.63,4.67,2.89,866
2183,0.92,Premium,F,SI2,58.1,58.0,6.46,6.41,3.74,3282
26279,0.36,Ideal,H,VVS2,62.3,57.0,4.52,4.57,2.83,726
2595,0.5,Ideal,D,VS2,62.6,56.0,5.05,5.08,3.17,1752
24482,0.31,Very Good,E,VS1,61.2,61.0,4.29,4.37,2.65,587
21780,0.52,Premium,G,SI2,61.4,56.0,5.27,5.18,3.2,1235
2767,0.33,Ideal,G,VS1,62.1,54.0,4.45,4.47,2.77,666
14249,1.02,Ideal,F,VS2,62.0,56.0,6.42,6.45,3.99,7326
16701,0.9,Fair,I,VS2,64.1,66.0,6.04,5.98,3.85,2921
6803,0.39,Good,F,SI1,63.6,58.0,4.65,4.6,2.94,921
25105,0.7,Ideal,H,VVS1,60.3,56.0,5.77,5.82,3.49,3524
13994,0.3,Ideal,E,VVS1,61.7,58.0,4.28,4.31,2.65,862
18648,0.58,Ideal,H,SI1,61.8,56.0,5.36,5.38,3.32,1421
7534,0.9,Ideal,G,SI1,62.6,56.0,6.16,6.23,3.88,3841
7373,0.3,Ideal,D,VVS1,61.3,57.0,4.32,4.29,2.64,1069
16551,0.69,Fair,I,VS1,57.9,63.0,5.73,5.77,3.33,1692
7903,1.05,Premium,G,SI1,60.3,57.0,6.64,6.59,3.99,4974
4095,0.72,Good,F,VS2,61.1,60.0,5.72,5.76,3.51,2705
26586,0.73,Ideal,E,VS1,62.3,56.0,5.8,5.75,3.6,3311
3123,0.9,Very Good,E,SI2,61.6,59.0,6.18,6.26,3.83,3924
16534,0.35,Ideal,H,VVS1,61.7,56.0,4.55,4.53,2.8,1024
21902,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,504
26205,0.36,Ideal,E,VS1,61.5,55.0,4.58,4.66,2.84,753
22859,0.56,Very Good,G,VS2,62.5,57.0,5.25,5.28,3.29,1580
8938,1.48,Very Good,H,SI2,62.3,58.0,7.18,7.23,4.49,7244
24059,0.31,Premium,G,VVS1,60.7,58.0,4.4,4.37,2.66,1046
7505,0.85,Ideal,G,SI1,62.2,56.0,6.04,6.09,3.77,3670
15771,0.82,Good,J,SI1,57.4,59.0,6.25,6.19,3.57,2140
5780,0.76,Ideal,G,VVS2,62.0,56.0,5.86,5.88,3.64,3927
22749,2.14,Very Good,I,SI1,61.3,61.0,8.28,8.32,5.09,15769
11535,1.3,Fair,J,SI1,66.0,57.1,6.73,6.82,4.45,5488
14294,1.0,Good,H,SI1,63.4,56.0,6.34,6.37,4.03,4389
21887,0.3,Ideal,E,VS1,61.7,57.0,4.31,4.28,2.65,911
5790,0.7,Ideal,H,VS1,61.6,55.0,5.73,5.76,3.54,2530
10225,0.33,Premium,G,SI1,61.1,59.0,4.45,4.42,2.71,631
14958,0.46,Ideal,G,SI1,62.2,53.4,4.95,4.98,3.09,934
14985,0.7,Good,F,VVS1,63.3,56.0,5.64,5.7,3.59,3310
14791,0.34,Premium,D,VVS2,60.1,58.0,4.53,4.55,2.73,984
24095,1.2,Premium,G,VS1,63.0,61.0,6.62,6.59,4.16,8938
16090,0.36,Ideal,H,IF,60.6,56.0,4.64,4.66,2.82,980
15974,0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,1038
24406,0.33,Ideal,F,VS2,62.3,56.0,4.41,4.45,2.76,666
16042,0.42,Premium,G,VS2,59.8,58.0,4.86,4.9,2.92,847
19144,2.58,Fair,F,SI2,65.2,59.0,8.58,8.51,5.57,12500
13983,0.7,Premium,J,SI1,61.3,59.0,5.73,5.75,3.52,1735
25068,1.0,Very Good,G,VVS2,63.0,54.0,6.37,6.43,4.03,8138
263,1.09,Ideal,F,VVS2,62.5,55.0,6.6,6.52,4.1,9845
16120,1.01,Premium,H,VS2,58.1,60.0,6.61,6.55,3.82,4348
15315,1.5,Premium,I,VS2,62.3,59.0,7.24,7.3,4.53,8431
4863,1.2,Very Good,F,VS2,61.8,58.0,6.75,6.78,4.18,9007
19691,1.24,Ideal,H,SI1,61.3,57.0,6.95,6.89,4.24,6254
15159,2.01,Premium,H,SI1,60.6,62.0,8.08,8.05,4.89,16733
9517,1.5,Good,G,VS1,63.8,59.0,7.16,7.22,4.59,11524
26543,0.5,Ideal,G,VS2,62.6,57.0,5.11,5.05,3.18,1424
26273,0.31,Ideal,I,SI1,61.4,56.0,4.35,4.38,2.68,430
5271,1.01,Good,E,SI1,63.3,57.0,6.33,6.37,4.02,4692
131,1.56,Premium,G,VS2,61.9,58.0,7.44,7.4,4.59,13299
2774,1.0,Fair,J,VS1,65.5,55.0,6.3,6.25,4.11,2875
14694,0.33,Premium,G,VS1,61.9,58.0,4.43,4.46,2.75,666
20875,1.22,Ideal,G,VS1,62.2,56.0,6.88,6.85,4.27,9292
1400,0.9,Premium,I,VS1,61.0,55.0,6.29,6.27,3.83,3720
23316,0.32,Very Good,I,VS2,63.2,56.0,4.38,4.32,2.75,576
1954,0.43,Ideal,E,VS1,61.2,56.0,4.89,4.94,3.01,981
13029,0.5,Good,E,SI1,63.3,58.0,4.99,5.03,3.17,1316
22082,2.23,Premium,J,SI1,62.1,59.0,8.29,8.33,5.16,13069
21767,0.26,Ideal,F,VS1,62.3,56.0,4.08,4.1,2.55,452
22828,0.51,Good,F,VS2,63.1,59.0,5.04,5.1,3.2,1444
11845,0.53,Very Good,D,VS1,60.5,58.0,5.27,5.3,3.2,2170
4071,1.03,Ideal,D,SI2,60.7,55.0,6.53,6.61,3.99,4752
19849,0.7,Good,F,SI1,64.3,63.0,5.58,5.55,3.58,2059
22019,1.71,Ideal,F,VS2,61.9,57.0,7.73,7.62,4.75,16384
3731,0.32,Good,D,IF,57.8,56.0,4.55,4.65,2.66,1252
14287,0.3,Very Good,I,VS1,63.0,53.0,4.26,4.31,2.7,473
277,0.51,Very Good,G,VVS2,61.7,58.0,5.13,5.18,3.18,1875
7265,0.4,Premium,D,VS2,61.7,59.0,4.76,4.73,2.93,1050
18588,1.01,Ideal,I,VS2,62.5,56.0,6.38,6.41,4.0,5855
1613,1.52,Ideal,G,VS2,62.8,54.0,7.3,7.36,4.61,13809
539,1.5,Good,E,SI2,61.5,65.0,7.21,7.17,4.42,6300
24628,0.43,Premium,F,VVS1,61.5,56.0,4.9,4.86,3.0,1422
13767,0.9,Good,E,SI2,62.0,63.0,6.09,6.14,3.79,3218
9996,0.84,Good,G,VS2,63.6,59.0,5.89,5.94,3.76,3370
13962,2.09,Very Good,F,SI2,62.5,60.0,8.14,8.06,5.06,16210
14344,0.72,Ideal,F,SI1,61.5,56.0,5.72,5.79,3.54,2870
22051,0.43,Very Good,F,SI2,60.5,59.0,4.88,4.91,2.96,679
4446,0.33,Very Good,E,VVS2,59.8,58.7,4.47,4.51,2.68,893
20265,1.22,Premium,F,VS2,63.0,60.0,6.85,6.74,4.28,7154
20772,2.18,Premium,J,SI1,62.9,59.0,8.25,8.21,5.18,13938
13621,1.01,Ideal,G,VS1,61.2,57.0,6.42,6.47,3.95,7290
19354,0.31,Premium,I,VS1,59.2,60.0,4.45,4.4,2.62,628
21751,1.01,Very Good,G,SI1,60.2,58.0,6.5,6.59,3.94,4719
489,0.83,Very Good,D,IF,59.7,53.0,6.14,6.23,3.69,7889
11307,0.57,Premium,D,SI1,63.0,59.0,5.27,5.23,3.31,1949
15717,0.7,Premium,G,VS2,62.1,60.0,5.71,5.65,3.53,2314
2100,0.74,Fair,G,VVS2,65.2,58.0,5.7,5.6,3.69,2959
1773,0.54,Premium,F,VS1,60.0,59.0,5.3,5.23,3.16,1770
8006,0.32,Ideal,D,VS1,61.5,56.0,4.41,4.43,2.72,862
12473,0.31,Premium,H,IF,61.7,58.0,4.36,4.33,2.68,1046
12411,1.16,Ideal,H,SI2,62.2,55.7,6.68,6.74,4.18,5260
19473,0.9,Good,G,SI2,62.7,59.0,6.04,6.12,3.81,3489
996,1.5,Fair,H,SI2,59.3,58.0,7.31,7.37,4.35,7098
8749,0.49,Ideal,G,VS2,61.1,57.0,5.12,5.09,3.12,1246
11375,0.62,Very Good,H,VS2,61.7,63.0,5.48,5.42,3.36,1709
24379,0.7,Very Good,D,SI1,61.1,57.0,5.74,5.66,3.48,2677
25743,0.32,Ideal,E,VS2,62.3,56.0,4.38,4.41,2.74,702
9796,1.11,Ideal,E,IF,61.8,55.0,6.65,6.69,4.12,15464
14499,1.2,Very Good,G,VS1,62.5,57.0,6.84,6.75,4.25,8150
7766,1.2,Very Good,I,SI1,62.8,57.0,6.7,6.74,4.22,5408
22815,1.2,Very Good,G,IF,60.9,55.0,6.9,6.93,4.21,10497
15272,1.0,Very Good,E,SI2,63.9,57.0,6.24,6.27,4.0,4321
16565,0.31,Premium,G,VS1,62.2,56.0,4.36,4.32,2.7,802
3211,1.03,Ideal,D,SI1,61.0,57.0,6.48,6.53,3.97,5804
20087,0.57,Premium,F,SI1,60.7,58.0,5.36,5.32,3.24,1571
893,1.15,Very Good,H,VS1,62.5,56.0,6.65,6.72,4.18,7040
3286,0.55,Premium,E,SI1,61.0,61.0,5.3,5.25,3.22,1668
20202,0.34,Premium,G,IF,60.5,58.0,4.52,4.47,2.72,939
3548,0.55,Ideal,I,SI1,61.2,55.0,5.28,5.33,3.25,1320
393,0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,1903
8002,0.3,Ideal,E,VVS2,62.3,54.0,4.31,4.36,2.7,742
24278,0.4,Premium,F,VS1,60.5,60.0,4.76,4.8,2.89,982
4344,0.3,Premium,G,VS1,61.7,56.0,4.33,4.29,2.66,776
14396,0.62,Very Good,D,VS2,59.2,59.1,5.55,5.6,3.3,2311
19578,0.77,Ideal,F,VS1,61.9,54.0,5.91,5.94,3.66,3750
5392,0.43,Ideal,G,IF,62.5,54.0,4.83,4.86,3.03,1318
4531,0.44,Ideal,H,IF,61.5,56.0,4.89,4.93,3.02,1185
7655,0.31,Ideal,D,VS2,61.2,55.0,4.42,4.37,2.69,942
8915,0.33,Ideal,E,VS2,61.7,55.0,4.45,4.47,2.75,792
22881,1.27,Very Good,J,VS2,61.8,60.0,6.9,6.94,4.28,5455
7456,0.41,Very Good,E,SI1,63.2,56.0,4.74,4.72,2.99,1015
19347,0.56,Ideal,G,VS2,62.0,55.0,5.28,5.33,3.29,1616
3761,1.13,Fair,H,I1,64.8,59.0,6.52,6.42,4.19,2968
13822,0.36,Ideal,D,VS2,61.0,56.0,4.63,4.59,2.81,1094
18219,1.22,Premium,I,VS2,59.3,59.0,7.01,6.96,4.14,6156
11020,0.4,Very Good,F,VVS1,61.9,59.0,4.71,4.75,2.93,1111
3580,0.31,Ideal,F,VS2,62.6,57.0,4.33,4.27,2.69,802
9361,1.02,Fair,H,I1,61.5,60.0,6.4,6.34,3.92,2999
5436,0.42,Premium,F,VVS2,59.6,59.0,4.83,4.86,2.89,1142
7917,0.59,Ideal,E,SI2,62.2,55.0,5.38,5.4,3.35,1286
21418,0.59,Premium,E,SI1,58.7,57.0,5.53,5.47,3.23,1550
25838,0.3,Ideal,H,VS2,61.9,57.0,4.28,4.31,2.66,491
15234,1.01,Premium,F,SI2,62.5,61.0,6.37,6.33,3.97,4017
11081,1.71,Very Good,J,SI1,62.9,58.0,7.58,7.64,4.79,8690
13647,0.3,Ideal,H,VVS2,60.8,58.0,4.33,4.38,2.65,590
3188,1.05,Fair,I,I1,61.8,66.0,6.48,6.37,3.97,2396
6262,1.02,Premium,H,SI1,62.9,59.0,6.41,6.38,4.02,4884
6349,0.92,Fair,H,VS1,56.0,60.0,6.53,6.51,3.65,3924
21892,1.83,Fair,J,I1,70.0,58.0,7.34,7.28,5.12,5083
10231,0.9,Very Good,F,SI1,61.4,58.0,6.18,6.23,3.81,4379
9615,0.32,Ideal,F,VS2,62.8,53.0,4.38,4.34,2.74,828
8972,1.23,Ideal,H,SI1,61.0,56.0,6.96,6.92,4.23,6439
10164,1.51,Premium,I,SI1,62.7,61.0,7.33,7.27,4.58,8794
3437,0.38,Very Good,D,VVS2,60.0,62.0,4.7,4.73,2.83,1200
22630,0.32,Good,D,I1,64.0,54.0,4.33,4.36,2.78,361
24698,0.31,Premium,F,VS2,61.6,58.0,4.38,4.35,2.69,802
25874,0.33,Ideal,E,VS2,61.6,57.0,4.46,4.44,2.74,928
1988,0.31,Ideal,G,VS1,60.8,57.0,4.39,4.42,2.68,645
14448,1.05,Ideal,G,VS2,60.8,57.0,6.58,6.65,4.02,6486
21769,1.21,Ideal,E,VS2,62.4,54.0,6.86,6.8,4.26,9215
3814,0.3,Ideal,D,VS2,61.8,55.0,4.32,4.35,2.68,606
4487,0.61,Very Good,H,VVS2,61.4,57.0,5.46,5.5,3.36,1970
18605,0.63,Very Good,G,VS1,59.9,57.0,5.57,5.62,3.35,2241
22983,0.31,Ideal,G,VS1,61.0,55.0,4.39,4.43,2.69,625
1659,0.34,Premium,H,VS2,61.3,60.0,4.53,4.47,2.76,689
20057,0.7,Very Good,F,VS1,62.0,57.0,5.64,5.71,3.52,2808
6049,0.51,Very Good,G,SI2,63.2,57.0,5.07,5.03,3.19,1100
6627,0.5,Very Good,I,SI1,63.5,56.0,5.02,5.06,3.2,1048
1755,0.55,Ideal,G,VS1,61.3,57.0,5.25,5.28,3.23,1667
18328,1.04,Premium,G,VS2,62.5,58.0,6.43,6.47,4.03,6177
18742,0.74,Ideal,I,VVS2,61.3,57.0,5.82,5.85,3.57,3130
3445,0.3,Ideal,E,VS2,61.5,55.0,4.4,4.32,2.68,844
4260,1.5,Very Good,G,SI2,63.1,57.0,7.29,7.25,4.59,9384
8689,0.51,Ideal,G,VVS2,61.6,56.0,5.12,5.14,3.16,1750
9061,0.71,Very Good,I,SI1,58.9,59.0,5.78,5.84,3.42,2141
12913,0.73,Ideal,I,SI1,62.0,57.0,5.74,5.77,3.56,2215
1711,0.78,Very Good,G,VS2,61.7,58.0,5.87,5.92,3.64,3074
21869,0.36,Ideal,E,VS1,62.0,56.0,4.57,4.59,2.84,852
25867,0.5,Very Good,F,VS1,62.3,55.0,5.06,5.09,3.16,1710
15253,0.7,Good,F,SI1,57.2,63.0,5.84,5.87,3.35,2401
19907,0.32,Ideal,G,VS2,62.4,55.0,4.39,4.36,2.73,672
1666,1.01,Good,E,VS2,63.7,56.0,6.29,6.27,4.0,6335
12980,0.7,Ideal,F,VVS2,61.9,55.0,5.72,5.68,3.53,2701
11661,1.02,Premium,G,VVS1,63.0,58.0,6.43,6.4,4.04,7797
26412,0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55,2776
6638,1.21,Very Good,J,VS2,60.9,58.0,6.86,6.91,4.19,4816
4090,0.41,Very Good,D,SI1,63.1,57.0,4.73,4.68,2.97,920
21603,0.51,Ideal,F,VS2,62.8,57.0,5.1,5.06,3.19,1619
7608,1.35,Very Good,I,VS2,61.7,59.0,7.05,7.09,4.36,6884
23982,1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,7072
15579,0.72,Premium,G,IF,60.1,58.0,5.89,5.86,3.53,3185
8496,0.5,Good,E,SI1,58.5,59.0,5.2,5.23,3.05,1331
26587,0.39,Ideal,F,VVS1,62.1,55.0,4.69,4.71,2.92,1124
16881,1.25,Premium,I,SI2,60.1,60.0,6.99,6.95,4.19,4340
25298,0.9,Good,G,SI2,63.7,62.0,6.01,6.07,3.85,3067
9956,1.08,Ideal,H,SI2,60.4,57.0,6.63,6.68,4.02,4455
9041,0.3,Good,G,VS1,63.1,59.0,4.25,4.27,2.69,605
4520,0.28,Good,H,VVS1,56.0,64.0,4.38,4.41,2.46,480
21815,1.76,Fair,J,VS1,56.9,66.0,8.09,7.94,4.56,9314
18196,0.31,Ideal,E,IF,62.2,54.0,4.33,4.35,2.7,987
3312,0.61,Very Good,D,SI1,62.4,59.0,5.42,5.45,3.39,1622
311,0.7,Ideal,H,SI2,59.9,57.0,5.77,5.74,3.45,2142
9359,0.73,Ideal,D,VS1,61.1,57.0,5.85,5.81,3.56,3509
720,1.52,Premium,G,VS1,62.4,58.0,7.37,7.3,4.58,13034
10849,1.05,Premium,E,SI2,62.3,56.0,6.54,6.47,4.05,4939
17813,0.51,Ideal,E,SI2,62.7,53.0,5.12,5.09,3.2,1265
20253,0.42,Ideal,G,VVS2,61.3,56.0,4.82,4.81,2.95,1103
24564,1.09,Good,F,SI2,60.8,61.4,6.59,6.64,4.02,5167
4696,1.0,Good,F,SI1,63.4,61.0,6.29,6.35,4.01,4851
